Semantic field	Indonesian gloss	English gloss	Enggano (Brouwer early 1850s)	Enggano (Boewang 1854)	Enggano South? (v. Rosenberg 1855)	Enggano Northwest? (vd Straten & S. 1855)	Enggano North (Walland 1864)	Enggano (Francis 1870)	Enggano Northwest (v. Rosenberg 1878)	Enggano (Oudemans 1879)	Enggano (Helfrich 1888)	Enggano Kèfoe (Helfrich & Pieters 1891)	Enggano Barohia (Helfrich & Pieters 1891)	Enggano (Modigliani 1894)	Enggano Pulau Dua 1895 (Stockhof 1987)	Enggano (Helfrich 1916)	Enggano (Amran et al. 1979)	Enggano (Capell 1982)	Enggano (Nothofer 1986 ms.)	Enggano (Kähler 1987)	Enggano root (Kähler 1987)	Enggano Malakoni (Kasim et al. 1987)	Enggano Banjar Sari (Kasim et al. 1987)	Enggano Meok (Yoder 2011)	Pak Aron Elicitation 2019	Contemporary Enggano (Zakaria et al. 2023)	Contemporary Enggano root	Remarks	Number of Attestations	PAN etymon	PAN gloss	PAN source	PMP etymon	PMP gloss	PMP source	Etymological source	Remark on etymology
people	orang	person	taka		taka	tako	fakka	etakka	taba	etakka		èkak(k)ak²	èkak(k)ak²	caca	èhāhā(k)		ekake	kakak, (e)kaka		etaka, ekaka		kakh	kakh	kak	ekak			meaning1855vdS 'human being'_meaning1895 'man, mankind, people'_meaning1982 'way'	18	*(aNak i) qaRta	slave	ACD	*(anak i) qaRta	slave	ACD	Edwards 2015:98, Nothofer 1994:403, Mahdi 1988:58,412, Blust 1972	irregular initial consonant; Walland (1864:117) also attests <fakka> faka with initial /f/, Nothofer (1994:403) spells akka 'human being' and reconstructs *qa(R) (CtT)a 'outsiders, alien people' for Proto-Paleo-Hesperonesian, cites Proto-Philippine *qaRta (with Samal ata 'slave', Casiguran Dumagat/Isneg ʔagta 'black person, Negrito')
people	orang	person																		eaha͜iʔ(i)éda								cf. naked	1								
people	orang	person										èjoedofok²	èjoedofok²															obsolete?	2								
activities	mengganggu	pester												baridaha aho															1								
tools	alu	pestle												elacò	èdakŏ		e'dak			e-ʔedako				dak	edak			meaning1895 'pounder'_meaning2011 'mortar'	6								
tools	alu	pestle																		e-(pak)ekéʔei				pãĩx	paih			Kähler lit. 'for pounding'	3								
plants	pohon medang	Phoebe									pari-poefoe																		1								
	ambil	pick up										abahoi	abahoi											roro	roro			note2011&2019: only native word with initial r?	4								
	ambil satu per satu	pick up one by one																							kahnė				1								
	gambar	picture																						kabarar	kabarar			loanword gambar	2								
activities	menembus/tindik telinga	pierce in ears										koeièkalihĕ	koeièkariha	caricu cariahadía															3								
animals	babi	pig					koijo	koijo		kojo	èkojok²	èkojok²	èkojok²	ecòio	èkŏjŏ(k)			eko̲yo̲						koi	koi			meaning1888 'wild boar'_meaning1891 'wild boar, pig'_meaning1895 'domesticated pig'	11								
animals	babi	pig	abi-abi		hawi hawi	abie abie	abi-abi					èobo	èobo		èŏbŏ					eʔobo	[e]ʔobo (III)							meaning1895 'domesticated pig'_meaning1987K 'wild boar'	8								
animals	babi	pig													ărŏmaka													meaning1895 'domesticated pig'	1								
human objects	jaring babi	pig-catching net									kadoèobo																		1								
human objects	kandang babi	pigsty												euba ecòio															1								
tools	tombak	pike					kha-ioh																						1								
	tumpukan (n.)	pile (n.)										afoeie	apoeie																2								
human objects	bantal	pillow										dadoèoedoe	dadoèoeloe		dadŏ èoeloe														3								second element is ulu 'head
human objects	bantal	pillow													èhŏkŏ èoeloe														1								second element is ulu 'head'
	jerawat	pimple										pakoenoejĕ	pakoenoejĕ		pakoenoejĕ													meaning1895 'eruption (of rash)'	3								
	penjepit	pincers										èlafini	èrapini											tipiʔ	tipi			loanword sepit	4								
activities	mencubit	pinch					fabieah																						1								
activities	mencubit	pinch					pie-ie																						1								
	mencubit	pinch										aoedikie	aoedikie																2								
	mencubit	pinch										koemoe	koemoe																2								
	terjepit	pinched																						ki-deok	kideok				2								
	terjepit	pinched																							napin				1								
	nanas	pineapple										kahaoukoe	kahaoukoe																2								
body parts	kelingking	pinkie												eara uapo															1								calque from Batak anak ni tangan?
body parts	kelingking	pinkie						mino afo noekie		miieo-afo noekie		naèafĕ nokie	naèapo nokiĕ		naèapo nokie													literally: little finger	5								
	pin dan jarum	pins and needles										kifafakoek²	kifafakoek²		kifafakoe(k)													meaning1895 'gone to sleep (limbs)	3								
	kasihan ; disayangkan	pity (v.)										abaakie	abaakie	pachinunai														Mod. also 'mercy'	3								
	plasenta	placenta										èfarè	èpalè																2								
geography	dataran	plain													kiedarāk														1								
activities	menganyam	plait													paioeka														1								
	putat	Planchonia valida																						naʔinɘ	na'inė				2								
	datar (a.)	plane (a.)										èokoh	èokoh																2								
human objects	bali-bali	plank bed					kho-inoh								èko ĕma													first part probably means 'wood', second part unclear	2								
plants	tanaman (n.)	plant (n.)																						kɘʔɘh	kė'ėh				2								
activities	menanam	plant (v.)										kök²ök²	kök²ök²	bacò										ka-rɘʔ					4								
activities	menanam	plant (v.)									kadoko	kadoko	kadoko											kɘʔ	karėrė				5								
	piring	plate										onèkè	onèkè		ōnèkĕ													meaning1895 'dish'	3								
	piring (kayu)	plate (wooden)												epahiù															1								
activities	bermain	play										aènafĕ	aènafĕ	baitara										ia-ʔitar					4								
activities	bermain	play												moco pamehena															1								
other	tolong (v.)	please (v.)					poh-poh-reh-parah																						1								
	penyumbat (n.)	plug (n.)																						iumuh	yumuh			meaning2011 'lid, plug'	2								
	terjun	plunge										kiok²ak²ou	kiok²ak²ou																2								
	plus	plus										aakohai	aakohai				akoah			a'akõãhã:ĩ								meaning1979 'add'_cf. join	4								
	menunjuk (v.)	point (v.)										ok²ok²	ok²ok²																2								
	lancip	pointed										kikini	kikini																2								
	tiang	pole										èoekoeai	èoekoeai											iukua	yo'o				4								
	tiang (di sampan)	pole (on sampan)																							yukua				1								
human features	miskin	poor (poverty)												chèoba dobu															1								
human features	miskin	poor (poverty)										fidjaja	fidjaja		fidjaja													miskin	3								
	penduduk	population													èpieĕ														1								
	serambi rumah	porch															ko'oma							koʔma	kõ'ma				3								
	kerasukan setan	possessed (by the devil)												enocuè														cf. ghost	1								
	milik	possession																						haru-				no stem	1								
human objects	panci	pot													rarieĕ									doioʔ	doiok			meaning1895 'iron pot'_meaning2011 'cumbung'	3								
human objects	panci	pot																							ekaino			cumbung	1								
human objects	periuk tanah	pot (earthen)										èmoehoeha	èmoehoeha																2								
human objects	periuk tanah	pot (earthen)													èfoefoe, èpoepoe														1								
	menumbuk (beras)	pound (rice)																		ki-kekéʔei				kekeʔ	kareke				3								
activities	menumbuk	pound (v.)												capurica						kĩ-pãũ				ʔa-be				meaning1894 'pound with a pestle'	3	*bayu	pound rice	ACD	*bayu	pound rice	ACD	Edwards 2015:94	only attestation of *y > Ø; Smith (2020:362) finds the nasalization problematic
activities	menumbuk	pound (v.)										fahok²oekie	pahok²oekie																2								
	kekuasaan	power										töhöjaaudĕ	töhöjaaudĕ																2								
	berdoa	pray																						iah-roʔoa	karo'a				2								
	berdoa	pray																						kah-roʔoa					1								
human features	hamil	pregnant										akèo	akèo							ki-ʔakeo									3								
human features	hamil	pregnant										faihi	paihi																2								
	tekan	press										kakak²owak	kakak²owak																2								
	harga	price										èodie	èorie		èorie, [afikă] èodiè [ĕ]					eodi	odi			iɘr	yėr			note1895: first word means 'price', second word means 'how much is the price?'_cf. buy	6	*(b)əli	buy	Nothofer 1986:100	*(b/w)əli	buy	Lafeber 1922:21,23	Lafeber 1922:21,23, Nothofer 1986:100, ACD 909	cf. Edwards (2015:68) for split of /o/
	penjara	prison																						bui	yub yahmii			note2011: loanword nui	2								
	maju ; berkembang	progress (v.)																						ʔa-ʔiur	a'iur			maju	2								
	berjanji	promise (v.)										hafanao	hafanao																2								
natural objects	tanjung	promontory									koeroe	koedoe	koeroe	curu	koeroe					e-kudu, e-kuru								meaning1888 'cape'_meaning1891 'promontory, end (n.)'_meaning1895 'isthmus, cape'	6				*quzuŋ	mountain peak, cape of land	ACD	Kähler 1987:177, Billings & McDonnell 2022	both B&McD and Kähler remark that this origin is uncertain, B&McD propose *tuzuq 'to point'
activities	melindungi	protect												cuhai															1								
	terlindung	protected										karohajĕ	karohajĕ																2								
	haluan kapal	prow of boat																		e-ihu									1	*ujuŋ	nose	ACD	*ijuŋ	nose	ACD	Edwards 2015:94-97	PAN > PMP irregular vowel change
plants	kayu bayur	Pterospermum									poro																		1								
body parts	jembut	pubic hair																		e-pudu								cf. hair	1	?			*bulu	body hair, fur	ACD	Edwards 2015:94-97	spelled pũnũ/pũrũ in Nothofer (1994:402), reconstructed Proto-Paleo-Hesperonesian *buluŋ 'leaf' (Nothofer 1994:402)
	menarik	pull										anokie	anokie							nə̃kĩ		anēkʰ	anēkʰ	ʔanɨk	anė'				7								
	menarik	pull																						ʔor	anėk				2								
activities	mencabut (rumput)	pull out (grass)												baapia															1								
activities	mencabut (rumput)	pull out (grass)																		ki-duduki									1	?			*dutdut/*zutzut	pluck, pull out	ACD	Zobel	with fossilized suffix *-i
activities	mencabut (rumput)	pull out (grass)										abokie	abokie																2								
tools	tarik pelatuk senapan	pull the trigger																		ki-kõmõĩñāʔã͜[õ]								German 'abdrücken', unclear meaning	1								
	detak	pulse												epu apò															1								
plants	labu/perenggi	pumpkin										èbok²ĕbok²ĕ	èbok²ĕbok²ĕ	edoa															3								
activities	meninju	punch																						tubuʔ	katubu'				2								
	hukuman	punishment																						iahmiʔ, ʔamiʔ	yahmi(')				2								
bodily fluids	nanah	pus										ènèja	ènèja							enẽã, edea	[e]nẽã								3	*naNaq	pus	ACD	*nanaq	pus	ACD	Krauße	irregular /ẽ/?
other	mendorong	push					ha-èh									è				ʔē	ʔē (II)							meaning1916 'push (off/away), reject'	3								
activities	mendorong	push					kebadah					kak²wak²	kak²wak²																3								
activities	mendorong	push					nja-hai																						1								
activities	mendorong	push										koejak²	koejak²							kiʔəa, ʔoáʔa				kuʔiaʔ	ku'iya			menyorong	5								
transfer	taruh	put										èok	èok																2								
transfer	meletakkan	put down										faoehok²	paoehok²																2								
animals	ular piton	python	bio-bio								èapoek²									ẽ-ãpũʔũ		ap'ukh	ap'ukh	ʔãpũʔ	ãpũ			meaning<1855 'snake'_meaning1888 'viper'	7								
animals	ular piton	python									èanèn																		1								
quantity	seperempat	quarter													nŏ(k)afa														1								cf. four
	cepat	quick																		kanĩxã				ka-nih	kanih	kanih			4								
	cepat	quick																		ya'aiña				kã-ʔĩ	kã'ĩ	kã'ĩ		note1987K: attested Kähler form is bare verb with 3 agreement and reconstructed ki- form is *ka'aiña	4								
	cepat	quick																		pa'ãĩñã				pãʔĩ	pã'ĩ	pã'ĩ		meaning1987K 'hurry'	4								
	cepat	quick										fanihak²	panihak²							panĩxã					panih	panih		meaning1987K 'hurry'	5								
sounds	diam	quiet			eirapakanare																								1								
sounds	diam	quiet																						pãʔõ	pã'õ, pã'õ				2								
sounds	diam	quiet										kajĕnönö	kajĕnönö		kajenŏnŏ, ijanŏnŏ									ʔainɘn				meaning1895&1891 'be silent'	4								
sounds	diam	quiet				kabehoka																							1								
	rakit (kendaraan sungai)	raft (river vehicle)																						rakit				loanword rakit	1								
	kasau	rafter										ioekoe	ioekoe																2								
weather	hujan	rain										kalinahak²	kalinahak²		kalinaha(k)					ẽ-kãnĩnãhãĩ									4								
weather	hujan	rain													poeāri poeāri					ẽ-kãnõpõã									2								
celestial objects	pelangi	rainbow										èdodi	èdodi		èdoedie					e-dudi									4				*duniq	rainbow	ACD	Billings & McDonnell 2022	the PMP form is actually PWMP, only attested in Sulawesi and Sumatra, cf. Mentawai runi, Lampung runih, Middle Malay grunai, Tombulu' buni (Lafeber 1922:23)
plants	rambutan	rambutan																						namutan	da'bu			loanword	2								
time	jarang	rarely										kafèrafèraba	kapèrapèraba	chèoba eabá															3								
diseases	ruam	rash													piŏnā														1								
animals	tikus	rat	ho-ah				i-hoea				èhoewa				èhoewā					e-húao								meaning1888&1895 'mouse, rat'	5								
animals	tikus	rat					koe-anie								kĕwānoe					ẽ-kõʔãnũ								meaning1895 'mouse, rat'	3								
animals	tikus	rat																						tikus				loanword	1								
animals	tikus	rat													èpèhĕja					e-peha								meaning1895 'mouse, rat'	2								
plants	rotan	rattan																		e-páʔe								k.o. rattan	1								
plants	rotan manau	rattan (Calamus manan)									èijĕ									ẽ-ĩʔĩã									2								
plants	rotan batu	rattan (Calamus penicillatus)					kiehie				kihi			echihì	èhiehie					ẽ-kĩhĩĩ				kĩhĩ	kĩhĩ	kĩhĩ	kĩhĩ	k.o. rattan	8								
plants	rotan semambu	rattan (Calamus scipionum)									poak²									e-pɨʔɨ́aʔa				pɨʔɨaʔ	pu'a	pu'a	pu'a	k.o. thick rattan	5								
plants	rotan getah	rattan (Daemonorops angustifolia)									èoewa																		1								
plants	rotan (tipis)	rattan (thin)	ome-ome		home home	omé omé																							3								
tools	keranjang rotan	rattan basket										oraj	oraj	eorae						eorai, eorae	[e]orae							meaning1891&1894 'basket'	4	*kuday	bamboo basket	Nothofer 1986:100				Nothofer 1986:100	
human objects	mangkok ratan	rattan bowl					o-nèkeh					mĕnèkè	mĕnèkè	eunèche						eonẽkẽ, eʔũnẽkẽ	[e]onẽkẽ							meaning1864&1891&1894 'basket'	5								
